State,Youth Offender Type,Year,Offences
Victoria,04 Dangerous/negligent acts(e),2021,71
Victoria,05 Abduction/harassment,2021,147
Victoria,06 Robbery/extortion,2021,249
Victoria,07 Unlawful entry with intent,2021,343
Victoria,08 Theft,2021,933
Victoria,09 Fraud/deception,2021,101
Victoria,10 Illicit drug offences,2021,325
Victoria,11 Weapons/explosives,2021,436
Victoria,12 Property damage and environmental pollution,2021,663
Victoria,13 Public order offences,2021,486
Victoria,15 Offences against justice(g),2021,99
Victoria,16 Miscellaneous offences,2021,888
Victoria,All offenders,2021,74825
Victoria,Total Youth offenders,2021,7028
Western Australia,01 Homicide and related offences,2021,5
Western Australia,02 Acts intended to cause injury,2021,1263
Western Australia,03 Sexual assault and related offences,2021,261
Western Australia,04 Dangerous/negligent acts(e),2021,42
Western Australia,05 Abduction/harassment,2021,154
Western Australia,06 Robbery/extortion,2021,298
Western Australia,07 Unlawful entry with intent,2021,975
Western Australia,08 Theft,2021,1096
Western Australia,09 Fraud/deception,2021,93
Western Australia,10 Illicit drug offences,2021,583
Western Australia,11 Weapons/explosives,2021,149
Western Australia,12 Property damage and environmental pollution,2021,492
Western Australia,13 Public order offences,2021,453
Western Australia,15 Offences against justice(g),2021,107
Western Australia,16 Miscellaneous offences,2021,62
Western Australia,All offenders,2021,34579
Western Australia,Total Youth offenders,2021,6037
Australian Capital Territory,01 Homicide and related offences,2022,0
Australian Capital Territory,02 Acts intended to cause injury,2022,139
Australian Capital Territory,03 Sexual assault and related offences,2022,7
Australian Capital Territory,04 Dangerous/negligent acts(e),2022,0
Australian Capital Territory,05 Abduction/harassment,2022,7
Australian Capital Territory,06 Robbery/extortion,2022,22
Australian Capital Territory,07 Unlawful entry with intent,2022,14
Australian Capital Territory,08 Theft,2022,51
Australian Capital Territory,09 Fraud/deception,2022,6
Australian Capital Territory,10 Illicit drug offences,2022,10
Australian Capital Territory,11 Weapons/explosives,2022,26
Australian Capital Territory,12 Property damage and environmental pollution,2022,21
Australian Capital Territory,13 Public order offences,2022,24
Australian Capital Territory,15 Offences against justice(g),2022,3
Australian Capital Territory,16 Miscellaneous offences,2022,0
Australian Capital Territory,All offenders,2022,2581
Australian Capital Territory,Total Youth offenders,2022,332
New South Wales,01 Homicide and related offences,2022,12
New South Wales,02 Acts intended to cause injury,2022,4183
New South Wales,03 Sexual assault and related offences,2022,237
New South Wales,04 Dangerous/negligent acts(e),2022,6
New South Wales,05 Abduction/harassment,2022,164
New South Wales,06 Robbery/extortion,2022,280
New South Wales,07 Unlawful entry with intent,2022,576
New South Wales,08 Theft,2022,1584
New South Wales,09 Fraud/deception,2022,208
New South Wales,10 Illicit drug offences,2022,667
New South Wales,11 Weapons/explosives,2022,187
New South Wales,12 Property damage and environmental pollution,2022,716
New South Wales,13 Public order offences,2022,1569
New South Wales,15 Offences against justice(g),2022,177
New South Wales,16 Miscellaneous offences,2022,378
New South Wales,All offenders,2022,118133
New South Wales,Total Youth offenders,2022,18390
Northern Territory,01 Homicide and related offences,2022,3
Northern Territory,02 Acts intended to cause injury,2022,221
Northern Territory,03 Sexual assault and related offences,2022,10
Northern Territory,04 Dangerous/negligent acts(e),2022,0
Northern Territory,05 Abduction/harassment,2022,0
Northern Territory,06 Robbery/extortion,2022,123
Northern Territory,07 Unlawful entry with intent,2022,229
Northern Territory,08 Theft,2022,64
Northern Territory,09 Fraud/deception,2022,7
Northern Territory,10 Illicit drug offences,2022,17
Northern Territory,11 Weapons/explosives,2022,30
Northern Territory,12 Property damage and environmental pollution,2022,13
Northern Territory,13 Public order offences,2022,29
Northern Territory,15 Offences against justice(g),2022,3
Northern Territory,16 Miscellaneous offences,2022,0
Northern Territory,All offenders,2022,8867
Northern Territory,Total Youth offenders,2022,754
Queensland,01 Homicide and related offences,2022,20
Queensland,02 Acts intended to cause injury,2022,2518
Queensland,03 Sexual assault and related offences,2022,668
Queensland,04 Dangerous/negligent acts(e),2022,128
Queensland,05 Abduction/harassment,2022,8
Queensland,06 Robbery/extortion,2022,576
Queensland,07 Unlawful entry with intent,2022,1432
Queensland,08 Theft,2022,1794
Queensland,09 Fraud/deception,2022,130
Queensland,10 Illicit drug offences,2022,1490
Queensland,11 Weapons/explosives,2022,205
Queensland,12 Property damage and environmental pollution,2022,704
Queensland,13 Public order offences,2022,692
Queensland,15 Offences against justice(g),2022,111
Queensland,16 Miscellaneous offences,2022,37
Queensland,All offenders,2022,82677
Queensland,Total Youth offenders,2022,10878
South Australia,01 Homicide and related offences,2022,0
South Australia,02 Acts intended to cause injury,2022,611
South Australia,03 Sexual assault and related offences,2022,58
South Australia,04 Dangerous/negligent acts(e),2022,5
South Australia,05 Abduction/harassment,2022,23
South Australia,06 Robbery/extortion,2022,94
South Australia,07 Unlawful entry with intent,2022,175
South Australia,08 Theft,2022,281
South Australia,09 Fraud/deception,2022,13
South Australia,10 Illicit drug offences,2022,353
South Australia,11 Weapons/explosives,2022,156
South Australia,12 Property damage and environmental pollution,2022,133
South Australia,13 Public order offences,2022,186
South Australia,15 Offences against justice(g),2022,29
South Australia,16 Miscellaneous offences,2022,27
South Australia,All offenders,2022,25709
South Australia,Total Youth offenders,2022,2194
Tasmania,01 Homicide and related offences,2022,3
Tasmania,02 Acts intended to cause injury,2022,295
Tasmania,03 Sexual assault and related offences,2022,7
Tasmania,04 Dangerous/negligent acts(e),2022,0
Tasmania,05 Abduction/harassment,2022,4
Tasmania,06 Robbery/extortion,2022,35
Tasmania,07 Unlawful entry with intent,2022,58
Tasmania,08 Theft,2022,237
Tasmania,09 Fraud/deception,2022,10
Tasmania,10 Illicit drug offences,2022,81
Tasmania,11 Weapons/explosives,2022,59
Tasmania,12 Property damage and environmental pollution,2022,121
Tasmania,13 Public order offences,2022,90
Tasmania,15 Offences against justice(g),2022,18
Tasmania,16 Miscellaneous offences,2022,10
Tasmania,All offenders,2022,7388
Tasmania,Total Youth offenders,2022,1012
Victoria,01 Homicide and related offences,2022,16
Victoria,02 Acts intended to cause injury,2022,2341
Victoria,03 Sexual assault and related offences,2022,179
Victoria,04 Dangerous/negligent acts(e),2022,35
Victoria,05 Abduction/harassment,2022,169
Victoria,06 Robbery/extortion,2022,465
Victoria,07 Unlawful entry with intent,2022,414
Victoria,08 Theft,2022,1304
Victoria,09 Fraud/deception,2022,165
Victoria,10 Illicit drug offences,2022,289
Victoria,11 Weapons/explosives,2022,456
Victoria,12 Property damage and environmental pollution,2022,725
Victoria,13 Public order offences,2022,530
Victoria,15 Offences against justice(g),2022,107
Victoria,16 Miscellaneous offences,2022,471
Victoria,All offenders,2022,65741
Victoria,Total Youth offenders,2022,8175
Western Australia,01 Homicide and related offences,2022,10
Western Australia,02 Acts intended to cause injury,2022,1551
Western Australia,03 Sexual assault and related offences,2022,235
Western Australia,04 Dangerous/negligent acts(e),2022,39
Western Australia,05 Abduction/harassment,2022,185
Western Australia,06 Robbery/extortion,2022,359
Western Australia,07 Unlawful entry with intent,2022,1004
Western Australia,08 Theft,2022,1088
Western Australia,09 Fraud/deception,2022,71
Western Australia,10 Illicit drug offences,2022,471
Western Australia,11 Weapons/explosives,2022,159
Western Australia,12 Property damage and environmental pollution,2022,498
Western Australia,13 Public order offences,2022,452
Western Australia,15 Offences against justice(g),2022,112
Western Australia,16 Miscellaneous offences,2022,46
Western Australia,All offenders,2022,36647
Western Australia,Total Youth offenders,2022,6278
